,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,estimated_generation_gwh,city,state,aqi,pm10,co,o3,so2,no2
189,mahon 10  burmeister n 2,WRI1006655,195.2,39.8964,4.2597,oil,590.6607086721991,Illes Balears,Illes Balears,53.0,40.3229,338.376,56.5946,0.275206,2.35
190,mahon tg4,WRI1006662,50.0,39.8964,4.2597,gas,90.35654989322279,Illes Balears,Illes Balears,53.0,40.3229,338.376,56.5946,0.275206,2.35
191,majadas,WRI1006663,49.9,39.9687,-5.7417,solar,335.6347583373384,Cáceres,Extremadura,28.0,0.202016,145.0,61.0,125.0,2.7
192,mala1 (ctcc malaga),WRI1006664,415.509,36.7495,-4.5631,gas,750.8791937916625,Málaga,Andalucía,28.0,17.1229,338.0,59.8133,1.4361,10.6352
193,manchasol-2,WRI1006665,99.8,39.1838,-3.3119,solar,671.2695166746768,Ciudad Real,Castilla-La Mancha,26.0,6.07747,324.607,55.7005,0.284985,3.31481
194,mandeo-zarzo,WRI1006666,25.6,43.2347,-8.0171,hydro,70.24857565577052,A Coruña,Galicia,33.0,0.0750016,100.0,54.5382,0.406057,1.0
195,mediano 1,WRI1006670,66.97,42.3227,0.2438,hydro,183.77137154949028,Huesca,Aragón,8.0,0.5994189999999999,364.661,18.0,1.5,5.5
196,meirama grupo 1,WRI1006671,557.2,43.1685,-8.4111,coal,2873.446798530395,A Coruña,Galicia,33.0,18.0,110.0,58.0,1.15,6.0
197,melilla 13,WRI1006672,46.90000000000001,35.29,-2.94,oil,141.91591822093315,,Melilla,30.0,16.5169,348.389,30.1749,2.13832,19.6639
198,menuza,WRI1006675,27.715999999999998,41.3217,-0.3508,hydro,76.0550594873178,Zaragoza,Aragón,19.0,2.73139,381.76800000000003,42.0,0.0476721,8.0
199,mequinenza 1,WRI1006676,322.36,41.3687,0.2765,hydro,884.583236265398,Zaragoza,Aragón,17.0,3.3468400000000003,400.0,37.055,0.67,9.33667
200,michelin aranda,WRI1006677,31.866,41.6704,-3.6892,gas,57.58603637794876,Burgos,Castilla y León,28.0,6.0,500.0,60.1709,1.8198,4.09666
201,michelin valladolid $$,WRI1006678,46.0,41.6552,-4.7237,gas,83.12802590176497,Valladolid,Castilla y León,29.0,8.0,600.0,26.5,3.0,22.8333
202,montamara 1,WRI1006685,92.42,42.5758,1.1423,hydro,253.6083344572777,Lérida,Cataluña,14.0,14.0,300.0,30.5,1.0,14.0
203,montefurado 3,WRI1006689,44.29,42.4768,-7.2746,hydro,121.5355240544561,Lugo,Galicia,32.0,11.0,100.0,69.648,0.226777,2.27592
204,montejo de bricia,WRI1006690,13.6,40.6325,-5.6229,wind,62.393321913881294,Salamanca,Castilla y León,24.0,1.0,330.44800000000004,51.0,0.7255,2.76323
205,montija,WRI1006691,30.8,38.9503,-0.652,wind,141.3025231579077,Valencia,Comunidad Valenciana,15.0,6.0,375.092,32.0,2.145,6.0
206,moralets 1,WRI1006693,219.14,42.5787,0.7587,hydro,601.3387839533419,Lleida,Catalunya,2.0,0.49405200000000005,100.0,4.0,0.138301,1.0
207,mudefer,WRI1006695,57.6,41.0333,0.25,wind,264.2540692823208,Tarragona,Catalunya,54.0,3.35259,373.84,22.3741,0.132946,3.0
208,muela de moratalla,WRI1006697,49.5,38.9667,-1.2167,wind,227.0933407894944,Albacete,Castilla-La Mancha,69.0,4.9294,366.33,29.0,362.5,5.060569999999999
209,narcea grupo 3,WRI1006702,553.6400000000001,43.2924,-6.3937,coal,2855.0880932131518,Asturias,Principado de Asturias,33.0,0.9498139999999999,170.0,29.5,0.45867600000000003,13.0
210,neumaticos michelin-vitoria,WRI1006705,47.0,42.85,-2.6667,gas,84.93515689962943,Araba,Euskadi,28.0,13.0,245.0,61.0,4.2333300000000005,21.5
211,nufri,WRI1006706,10.0,41.6333,0.9,gas,18.07130997864456,Lleida,Catalunya,23.0,25.0,250.0,21.3236,1.0,1.0
212,olextra,WRI1006712,16.647000000000002,42.069,1.3135,waste,58.856973513995456,Lleida,Catalunya,14.0,14.0,300.0,30.5,1.0,14.0
213,oliana 3,WRI1006711,37.62,41.9397,1.1954,hydro,103.232477194144,Lérida,Cataluña,5.0,1.52605,100.0,4.0,0.0976725,1.0
214,p. e.  alaiz y ampliacion,WRI1006720,26.4,42.737,-1.6331,wind,121.11644842106371,Navarra,Navarra,26.0,8.0,100.0,55.9688,0.42282,3.73251
215,p. e.  carrasquillo,WRI1006724,49.3,42.1933,-4.2939,wind,226.17579193781967,Palencia,Castilla y León,31.0,4.0,324.607,67.1446,0.9741629999999999,3.18093
